Family,Species,,Range Size ,IUCN Red List Category ,IUCN.census,Roddy.pop,google.pop,source,final.pop,rangesize,,,,,,,,,,,,,,,,,,,,,,,,,
Odobenidae,Odobenus_rosmarus,Walrus,95248841.03,Vulnerable,112500.00,,225000.00,animalia.bio,168750.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Canidae,Otocyon_megalotis,Bat-Eared Fox,7071478.623,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Viverridae,Paguma_larvata,Masked Palm Civet,15477347.44,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Panthera_leo,Lion,196892010.8,Vulnerable,31000.00,1236145.39,20000.00,animalia.bio,25500.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Panthera_pardus,Leopard,199687819.4,Vulnerable,3100.00,,12000.00,wildlifeact.com,7550.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Panthera_tigris,Tiger,72672200.86,Endangered,,74849.8,2656.5,animalia.bio,2656.5,1,,,,,,,,,,,,,,,,,,,,,,,,,
Phocidae,Phoca_largha,Spotted Seal,12653710.04,Least Concern,320000.00,,640000.00,animalia.bio,480000.00,0,,,,,,,,,,,,,,,,,,,,,,,,,
Phocidae,Phoca_vitulina,Harbor Seal,155949396.3,Least Concern,315000.00,,425000.00,animalia.bio,370000.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Otariidae,Phocarctos_hookeri,New Zealand Sea Lion,6194052.885,Endangered,3031.00,,12000.00,wikipedia,7515.50,0,,,,,,,,,,,,,,,,,,,,,,,,,
Procyonidae,Potos_flavus,Kinkajou,30531470.74,Least Concern,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Prionailurus_bengalensis,Mainland Leopard Cat,37584526.35,Least Concern,,,50000.00,animalia.bio,50000.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Prionailurus_viverrinus,Fishing Cat,15294891.81,Vulnerable,,,10000.00,a-z-animals.com,10000.00,0,,,,,,,,,,,,,,,,,,,,,,,,,
Viverridae,Prionodon_linsang,Banded Linsang,641644.8031,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Procyonidae,Procyon_lotor,Northern Raccoon,100789637.6,Least Concern,,38504991.13,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Puma_concolor,Puma,143074528.1,Least Concern,,447017.18,50000.00,animalia.bio,50000.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Phocidae,Pusa_hispida,Ringed Seal,66220971.81,Least Concern,1500000.00,,1500000.00,animalia.bio,1500000.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Phocidae,Pusa_sibirica,Baikal Seal,17901.18468,Least Concern,54000.00,,108200.00,animalia.bio,81100.00,0,,,,,,,,,,,,,,,,,,,,,,,,,
Canidae,Speothos_venaticus,Bush Dog,9827206.727,Near Threatened,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mephitidae,Spilogale_gracilis,Western Spotted Skunk ,4526509.313,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mephitidae,Spilogale_putorius,Eastern Spotted Skunk,10904269.96,Vulnerable,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Herpestidae,Suricata_suricatta,Meerkat,98474934.24,Least Concern,,,500000.00,animalia.bio,500000.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Taxidea_taxus,American Badger,12365845.49,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ursidae,Tremarctos_ornatus,Spectacled Bear,10758006.8,Vulnerable,6250.00,,6250.00,animalia.bio,6250.00,0,,,,,,,,,,,,,,,,,,,,,,,,,
Felidae,Uncia_uncia,Snow Leopard,17306098.93,Vulnerable,3048.00,192111.74,3048.00,animalia.bio,3048.00,0,,,,,,,,,,,,,,,,,,,,,,,,,
Canidae,Urocyon_cinereoargenteus,Grey Fox,62425742,Least Concern,,21715259.43,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ursidae,Ursus_americanus,American Black Bear,26036675.2,Least Concern,,,900000.00,animalia.bio,900000.00,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ursidae,Ursus_arctos,Brown Bear,88309707.22,Least Concern,110000.00,479446.43,200000.00,animalia.bio,155000.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ursidae,Ursus_maritimus,Polar Bear,67598287.76,Vulnerable,,,26500.00,animalia.bio,26500.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ursidae,Ursus_thibetanus,Asiatic Black Bear,38841886.59,Vulnerable,,,50000.00,google,50000.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
Viverridae,Viverricula_indica,Small Indian Civet,35848247.86,Least Concern,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mustelidae,Vormela_peregusna,Marbled Polecat,9480462.866,Vulnerable,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Canidae,Vulpes_corsac,Corsac Fox,14236778.15,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Canidae,Vulpes_macrotis,Kit Fox,2634316.964,Least Concern,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Canidae,Vulpes_vulpes,Red Fox,205220402.5,Least Concern,,69337734.77,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Otariidae,Zalophus_californianus,Californian Sea Lion,62708759.04,Least Concern,180000.00,,387646.00,animalia.bio,283823.00,1,,,,,,,,,,,,,,,,,,,,,,,,,
