number,name
72261777,Nasuella meridensis
5953,Cuon alpinus
23049,Vulpes bengalensis
4248,Cerdocyon thous
6923,Dusicyon australis
82337482,Dusicyon avus
10276,Parahyaena brunnea
6929,Lycalopex culpaeus
6928,Lycalopex gymnocercus
14925,Nyctereutes procyonoides
6925,Lycalopex sechurae
41605,Herpestes ochraceus
41618,Herpestes urva
12847,Martes gwatkinsii
6926,Lycalopex vetulus
68986842,Lynx lynx
4819,Chrysocyon brachyurus
12303,Lontra felina
12305,Lontra provocax
41591,Bdeogale crassicauda
41700,Genetta servalina
16218,Pardofelis marmorata
4038,Catopuma temminckii
15309,Leopardus colocolo
11509,Leopardus pardalis
136603,Neofelis diardi
18151,Prionailurus bengalensis
18868,Puma concolor
12518,Lynx canadensis
3847,Caracal caracal
41586,Lycalopex fulvipes
714,Ailurus fulgens
6927,Lycalopex griseus
4037,Catopuma badia
41667,Zalophus japonicus
41687,Ursus americanus
15951,Panthera leo
13653,Monachus monachus
118264888,Canis lupaster
41688,Ursus arctos
12519,Lynx lynx
712,Ailuropoda melanoleuca
15953,Panthera onca
22066,Tremarctos ornatus
9760,Helarctos malayanus
219,Acinonyx jubatus
41651,Martes pennanti
41695,Civettictis civetta
70207409,Mustela nivalis
131299383,Felis lybica
11638,Leptailurus serval
118264161,Canis aureus
3745,Canis latrans
3746,Canis lupus
3747,Canis rufus
124159083,Panthera pardus
15954,Panthera pardus
1793,Aonyx capensis
1794,Aonyx congicus
7750,Enhydra lutris
12302,Lontra canadensis
12304,Lontra longicaudis
12419,Lutra lutra
12420,Hydrictis maculicollis
12421,Lutra sumatrana
12427,Lutrogale perspicillata
18711,Pteronura brasiliensis
44166,Aonyx cinereus
12436,Lycaon pictus
13143,Melursus ursinus
2613,Bassariscus sumichrasti
48637280,Bassaricyon neblina
48637802,Bassaricyon medius
22824,Ursus thibetanus
12520,Lynx pardinus
8542,Felis nigripes
15640,Otocolobus manul
61382318,Pusa hispida
181049859,Felis silvestris
23062,Vulpes vulpes
14519,Neofelis nebulosa
8540,Felis chaus
18146,Prionailurus bengalensis
8539,Felis bieti
15955,Panthera tigris
